"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	845	1524416	55.431	51.694	59.169	1.907	67.490	62.850	72.129	2.367
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Other heart diseases (I26-I51)"	"GR113-064"	831	1524416	54.513	50.806	58.219	1.891	65.750	61.200	70.301	2.322
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Heart failure (I50)"	"GR113-067"	231	1524416	15.153	13.199	17.107	0.997	19.016	16.536	21.497	1.265
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	587	1524416	38.507	35.391	41.622	1.589	45.832	42.051	49.613	1.929
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	71	1524416	4.658	3.638	5.875	0.553	5.772	4.491	7.305	0.695
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	479	1524416	31.422	28.608	34.236	1.436	38.116	34.639	41.592	1.774
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Atherosclerosis (I70)"	"GR113-071"	71	1524416	4.658	3.638	5.875	0.553	6.179	4.808	7.820	0.742
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	115	1524416	7.544	6.165	8.923	0.703	9.055	7.362	10.748	0.864
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	76	1524416	4.986	3.928	6.240	0.572	5.845	4.574	7.361	0.688
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	39	1524416	2.558	1.819	3.497	0.410	3.180	2.250	4.365	0.518
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	39	1524416	2.558	1.819	3.497	0.410	2.807	1.986	3.852	0.458
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	281	1524416	18.433	16.278	20.589	1.100	21.772	19.180	24.365	1.323
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Influenza (J09-J11)"	"GR113-077"	31	1524416	2.034	1.382	2.886	0.365	2.600	1.754	3.711	0.475
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Pneumonia (J12-J18)"	"GR113-078"	250	1524416	16.400	14.367	18.433	1.037	19.190	16.768	21.611	1.236
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	993	1524416	65.140	61.088	69.191	2.067	79.243	74.204	84.282	2.571
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Emphysema (J43)"	"GR113-084"	83	1524416	5.445	4.337	6.750	0.598	5.982	4.736	7.456	0.673
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	900	1524416	59.039	55.182	62.896	1.968	72.431	67.597	77.265	2.466
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	154	1524416	10.102	8.507	11.698	0.814	12.331	10.354	14.307	1.008
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	184	1524416	12.070	10.326	13.814	0.890	15.072	12.851	17.293	1.133
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Peptic ulcer (K25-K28)"	"GR113-090"	25	1524416	1.640	1.061	2.421	0.328	1.830	1.173	2.723	0.375
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Hernia (K40-K46)"	"GR113-092"	11	1524416	Unreliable	0.360	1.291	0.218	Unreliable	0.391	1.499	0.252
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	321	1524416	21.057	18.754	23.361	1.175	21.503	19.101	23.905	1.225
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Alcoholic liver disease (K70)"	"GR113-094"	244	1524416	16.006	13.998	18.015	1.025	16.090	14.033	18.146	1.049
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	77	1524416	5.051	3.986	6.313	0.576	5.402	4.235	6.793	0.632
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	24	1524416	1.574	1.009	2.343	0.321	1.853	1.175	2.780	0.382
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	212	1524416	13.907	12.035	15.779	0.955	17.466	15.081	19.851	1.217
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Renal failure (N17-N19)"	"GR113-100"	200	1524416	13.120	11.301	14.938	0.928	16.466	14.150	18.782	1.182
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Hyperplasia of prostate (N40)"	"GR113-103"	14	1524416	Unreliable	0.502	1.541	0.245	Unreliable	0.647	1.987	0.321
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	24	1524416	1.574	1.009	2.343	0.321	1.637	1.038	2.456	0.342
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	77	1524416	5.051	3.986	6.313	0.576	5.845	4.582	7.350	0.686
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"All other diseases (Residual) "	"GR113-111"	1652	1524416	108.369	103.144	113.595	2.666	125.343	119.158	131.528	3.156
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	1224	1524416	80.293	75.795	84.791	2.295	86.308	81.285	91.330	2.562
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	212	1524416	13.907	12.035	15.779	0.955	14.930	12.827	17.033	1.073
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	182	1524416	11.939	10.204	13.674	0.885	12.966	10.995	14.937	1.006
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	12	1524416	Unreliable	0.407	1.375	0.227	Unreliable	0.415	1.488	0.246
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	18	1524416	Unreliable	0.700	1.866	0.278	Unreliable	0.649	1.785	0.273
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	1012	1524416	66.386	62.296	70.476	2.087	71.400	66.838	75.963	2.328
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Falls (W00-W19)"	"GR113-118"	358	1524416	23.484	21.052	25.917	1.241	28.138	25.159	31.117	1.520
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	26	1524416	1.706	1.114	2.499	0.334	1.542	0.988	2.295	0.312
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	10	1524416	Unreliable	0.315	1.206	0.207	Unreliable	0.310	1.189	0.206
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	512	1524416	33.587	30.677	36.496	1.484	33.134	30.138	36.131	1.529
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	104	1524416	6.822	5.511	8.133	0.669	7.782	6.243	9.321	0.785
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	550	1524416	36.079	33.064	39.095	1.538	37.489	34.223	40.755	1.666
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	265	1524416	17.384	15.291	19.477	1.068	18.146	15.873	20.420	1.160
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	285	1524416	18.696	16.525	20.866	1.107	19.359	17.015	21.704	1.196
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	61	1524416	4.002	3.061	5.140	0.512	3.975	3.003	5.162	0.531
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	32	1524416	2.099	1.436	2.963	0.371	2.018	1.351	2.898	0.373
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	29	1524416	1.902	1.274	2.732	0.353	1.987	1.309	2.890	0.383
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	42	1524416	2.755	1.986	3.724	0.425	2.862	2.045	3.897	0.455
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	40	1524416	2.624	1.875	3.573	0.415	2.689	1.903	3.691	0.438
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	21	1524416	1.378	0.853	2.106	0.301	1.608	0.982	2.484	0.359
	"Colorado"	"08"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	26	1524416	1.706	1.114	2.499	0.334	2.131	1.379	3.145	0.425
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	25	14606	171.163	110.768	252.670	34.233	189.040	121.122	281.277	38.375
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	10	14606	Unreliable	32.832	125.910	21.651	Unreliable	36.102	149.877	25.657
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	47	14606	321.786	236.435	427.907	46.937	310.614	226.565	415.627	46.461
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	27	14606	184.856	121.822	268.956	35.575	167.137	109.179	244.895	32.706
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	17	14606	Unreliable	67.802	186.353	28.229	Unreliable	59.989	170.434	25.852
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	14	14606	Unreliable	52.403	160.822	25.617	Unreliable	47.293	145.140	23.522
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	10	14606	Unreliable	32.832	125.910	21.651	Unreliable	27.848	106.799	18.578
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	15	14606	Unreliable	57.479	169.384	26.516	Unreliable	55.998	171.855	26.991
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"Black or African American"	"2054-5"	"All other diseases (Residual) "	"GR113-111"	19	14606	Unreliable	78.319	203.141	29.843	Unreliable	65.679	175.145	25.942
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	36	905991	3.974	2.783	5.501	0.662	2.420	1.676	3.382	0.418
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Septicemia (A40-A41)"	"GR113-010"	176	905991	19.426	16.556	22.296	1.464	12.827	10.817	14.837	1.026
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Viral hepatitis (B15-B19)"	"GR113-015"	22	905991	2.428	1.522	3.676	0.518	2.006	1.208	3.133	0.457
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	32	905991	3.532	2.416	4.986	0.624	2.182	1.483	3.098	0.391
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	2270	905991	250.554	240.247	260.862	5.259	167.800	160.651	174.950	3.648
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	23	905991	2.539	1.609	3.809	0.529	1.721	1.066	2.631	0.377
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	23	905991	2.539	1.609	3.809	0.529	1.582	0.991	2.395	0.338
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	22	905991	2.428	1.522	3.676	0.518	1.713	1.061	2.619	0.373
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	230	905991	25.387	22.106	28.667	1.674	16.125	13.976	18.275	1.097
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	38	905991	4.194	2.968	5.757	0.680	2.678	1.885	3.691	0.441
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	128	905991	14.128	11.681	16.576	1.249	9.262	7.625	10.899	0.835
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	571	905991	63.025	57.855	68.194	2.638	42.377	38.824	45.930	1.813
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant melanoma of skin (C43)"	"GR113-028"	40	905991	4.415	3.154	6.012	0.698	3.215	2.239	4.471	0.540
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of breast (C50)"	"GR113-029"	349	905991	38.521	34.480	42.563	2.062	26.289	23.407	29.172	1.471
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	33	905991	3.642	2.507	5.115	0.634	3.336	2.217	4.821	0.626
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	61	905991	6.733	5.150	8.649	0.862	4.445	3.383	5.733	0.578
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	149	905991	16.446	13.805	19.087	1.347	11.159	9.309	13.010	0.944
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	40	905991	4.415	3.154	6.012	0.698	2.813	1.991	3.861	0.458
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	28	905991	3.091	2.054	4.467	0.584	1.928	1.270	2.805	0.374
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	46	905991	5.077	3.717	6.772	0.749	3.794	2.746	5.111	0.579
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	213	905991	23.510	20.353	26.668	1.611	15.560	13.391	17.728	1.106
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	61	905991	6.733	5.150	8.649	0.862	4.545	3.424	5.916	0.611
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Leukemia (C91-C95)"	"GR113-040"	91	905991	10.044	8.087	12.332	1.053	6.502	5.201	8.030	0.701
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	58	905991	6.402	4.861	8.276	0.841	4.253	3.204	5.536	0.575
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	271	905991	29.912	26.351	33.473	1.817	19.414	17.002	21.826	1.231
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	70	905991	7.726	6.023	9.762	0.923	4.783	3.699	6.085	0.589
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Anemias (D50-D64)"	"GR113-045"	18	905991	Unreliable	1.177	3.140	0.468	Unreliable	0.692	1.902	0.290
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	232	905991	25.607	22.312	28.902	1.681	17.176	14.866	19.487	1.179
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	25	905991	2.759	1.786	4.073	0.552	1.659	1.052	2.489	0.346
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Malnutrition (E40-E46)"	"GR113-048"	24	905991	2.649	1.697	3.942	0.541	1.608	1.007	2.434	0.342
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Parkinson disease (G20-G21)"	"GR113-051"	100	905991	11.038	8.874	13.201	1.104	6.482	5.185	7.779	0.662
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Alzheimer disease (G30)"	"GR113-052"	673	905991	74.283	68.671	79.896	2.863	39.630	36.575	42.684	1.558
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	3342	905991	368.878	356.371	381.384	6.381	214.081	206.562	221.599	3.836
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	2272	905991	250.775	240.463	261.087	5.261	146.161	139.924	152.399	3.182
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	32	905991	3.532	2.416	4.986	0.624	2.154	1.454	3.075	0.393
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Hypertensive heart disease (I11)"	"GR113-056"	95	905991	10.486	8.484	12.818	1.076	6.007	4.812	7.410	0.644
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	16	905991	Unreliable	1.009	2.868	0.442	Unreliable	0.596	1.829	0.294
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1183	905991	130.575	123.134	138.016	3.796	76.275	71.781	80.769	2.293
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	248	905991	27.373	23.966	30.780	1.738	16.852	14.672	19.033	1.112
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	11	905991	Unreliable	0.606	2.172	0.366	Unreliable	0.360	1.290	0.222
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	924	905991	101.988	95.412	108.564	3.355	58.704	54.798	62.610	1.993
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	273	905991	30.133	26.558	33.707	1.824	18.437	16.179	20.696	1.152
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	651	905991	71.855	66.335	77.375	2.816	40.254	37.068	43.439	1.625
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Other heart diseases (I26-I51)"	"GR113-064"	946	905991	104.416	97.762	111.070	3.395	60.592	56.576	64.609	2.049
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Heart failure (I50)"	"GR113-067"	272	905991	30.022	26.454	33.590	1.820	16.403	14.391	18.416	1.027
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	663	905991	73.180	67.609	78.750	2.842	43.201	39.783	46.620	1.744
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	125	905991	13.797	11.378	16.216	1.234	7.837	6.417	9.256	0.724
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	804	905991	88.743	82.608	94.877	3.130	50.670	47.067	54.272	1.838
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Atherosclerosis (I70)"	"GR113-071"	42	905991	4.636	3.341	6.266	0.715	2.578	1.842	3.511	0.406
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	99	905991	10.927	8.881	13.304	1.098	6.835	5.496	8.402	0.721
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	48	905991	5.298	3.906	7.024	0.765	3.176	2.325	4.236	0.470
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	51	905991	5.629	4.191	7.401	0.788	3.663	2.672	4.901	0.547
	"Colorado"	"08"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	18	905991	Unreliable	1.177	3.140	0.468	Unreliable	0.754	2.142	0.328
